?,?,?,1031,?,?,?,?,?,?,?,?,2
44,91,22,1009,?,52,14,?,?,82,?,1,2
?,41,2,1017,?,11,22,?,?,88,?,0,2
?,61,6,?,?,57,18,?,?,6,0,0,1
?,?,?,?,?,?,?,?,?,?,?,2,13
10,25,8,1024,?,25,27,?,0,32,0,6,12
7,17,6,851,99,41,8,6,?,84,0,2,?
5,13,1,1024,?,25,27,?,0,32,0,6,12
?,55,27,1007,?,?,12,?,?,89,0,?,?
15,46,28,1011,?,48,23,?,?,54,0,?,?
?,?,?,?,?,?,?,?,?,?,?,1,14
10,25,?,1014,0,?,21,15,0,70,?,1,?
15,34,4,1015,?,26,21,?,0,55,0,5,17
11,13,3,1004,?,35,27,?,?,30,0,5,8
20,53,14,1009,?,61,10,?,?,91,0,0,?
7,30,12,1015,?,34,22,?,5,56,0,0,1
16,46,20,1011,?,48,23,?,?,54,0,?,?
11,30,?,1020,?,?,23,?,0,11,?,9,16
11,34,6,?,?,22,20,?,0,?,0,?,?
11,34,7,1014,?,28,23,15,0,60,0,4,?
?,?,?,1031,?,?,2,?,?,?,?,?,?
6,21,11,1009,?,43,18,?,?,69,0,1,6
10,25,?,1020,?,?,23,?,0,11,?,9,16
14,38,13,1001,?,53,18,14,?,78,?,?,?
16,38,12,1001,?,37,21,?,5,66,?,?,0
10,25,3,1012,?,30,22,?,0,55,0,0,3
10,30,?,1010,?,17,5,?,6,84,?,0,2
14,38,13,1001,?,42,21,?,5,66,?,?,0
12,30,?,1008,?,11,13,?,25,75,?,0,0
12,9,11,1009,?,?,14,?,?,85,?,0,1
16,42,7,1001,?,41,21,?,5,66,?,?,0
6,21,1,813,99,28,8,1,0,60,0,4,?
13,34,?,1008,?,21,13,?,15,75,?,0,0
?,80,15,1012,?,16,12,?,?,99,?,?,?
8,25,?,1008,?,2,13,?,21,75,?,0,0
20,42,17,1001,?,42,21,?,5,66,?,?,0
12,34,11,1006,?,55,19,?,?,51,?,2,5
6,13,0,813,99,20,8,1,0,60,0,4,?
19,55,17,?,?,?,18,?,2,6,?,0,1
9,25,14,1009,?,45,20,?,?,49,0,0,?
12,30,9,1015,?,47,25,?,5,40,0,0,0
7,21,10,1019,?,24,24,?,0,47,?,3,4
18,50,11,1009,?,48,20,?,?,49,0,0,?
16,53,10,1010,?,?,15,?,2,80,0,0,0
28,65,27,?,?,?,?,?,1,?,0,?,?
16,38,17,1015,?,35,20,?,5,70,0,5,7
14,34,8,1014,?,27,24,13,?,50,?,4,9
16,42,20,1010,?,?,25,?,?,42,0,2,3
8,13,9,1008,?,45,20,?,?,63,0,1,0
10,25,5,1019,?,24,24,?,0,47,?,3,4
8,33,8,1010,?,68,0,?,1,1,?,?,?
13,30,9,1011,?,26,26,?,0,51,0,5,13
?,87,17,1003,?,?,12,?,?,96,?,?,?
14,21,6,1010,?,28,0,?,0,1,1,?,?
11,34,2,1011,?,22,26,?,0,51,0,5,13
19,50,23,1008,?,?,16,?,?,80,0,0,1
17,15,2,1012,?,33,22,15,?,64,?,2,?
10,30,4,1019,?,24,24,?,0,47,?,3,4
20,63,11,1000,?,52,12,?,?,95,?,0,0
13,16,6,1012,?,?,22,?,?,64,2,5,12
8,25,7,1011,?,22,26,?,0,51,0,5,13
12,34,4,1011,?,26,26,?,0,51,0,5,13
18,68,13,1012,?,?,13,?,?,84,0,3,4
